         173281 function calls (164229 primitive calls) in 27.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      354    0.000    0.000    0.006    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1467(info)
      199    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:5141(__new__)
  483/389    0.000    0.000    0.011    0.000 {built-in method _operator.eq}
      230    0.000    0.000    0.011    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:1505(operate)
       87    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\attributes.py:1216(__init__)
      615    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       22    0.000    0.000    0.024    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:2273(__init__)
       97    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\threading.py:176(release)
      137    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\annotation.py:269(_as_annotated_instance)
      703    0.000    0.000    0.000    0.000 {built-in method greenlet._greenlet.getcurrent}
       80    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:1492(__getattr__)
    188/1    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\werkzeug\routing\matcher.py:60(_update_state)
      747    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      133    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\mapper.py:2457(_log)
      482    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      104    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\base.py:737(_generate)
     15/9    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\threading.py:582(wait)
      167    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\base.py:137(__init__)
        8    0.000    0.000    0.012    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\compiler.py:1340(__init__)
       69    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\email\message.py:462(get)
       30    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\compiler.py:2516(visit_label)
       22    0.000    0.000    0.026    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:1883(_setup_join_conditions)
       13    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       22    0.000    0.000    0.005    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:3057(_setup_pairs)
      137    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\annotation.py:124(_annotate)
       60    0.000    0.000    0.005    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:3386(create_lazy_clause)
      184    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:1477(comparator)
       31    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
     1376    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       92    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\parser.py:646(parse_primary)
        9    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\socket.py:302(makefile)
       64    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:223(remove)
        5    0.000    0.000    0.022    0.004 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\compiler.py:826(visit_Template)
      147    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\werkzeug\datastructures\headers.py:500(__iter__)
        9    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\greenio\base.py:214(accept)
        6    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\context.py:2615(__init__)
      135    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\timer.py:13(__init__)
      127    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\__init__.py:98(get_hub)
       53    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\flask_sqlalchemy\session.py:31(get_bind)
     73/5    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:295(switch)
        5    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\nodes.py:229(set_environment)
       97    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\threading.py:138(acquire)
      214    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\base.py:159(__getattr__)
        2    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      241    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\util\langhelpers.py:1296(_fallback_getattr)
    100/8    0.000    0.000    0.011    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:129(_compiler_dispatch)
